Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Republic of Indonesia,1992,Asthma,Asthma,Both,All ages,3.67%,3.12%,4.41%,GBD 1992,Non-Communicable Diseases
Global,1993,Asthma,Asthma,Both,All ages,4.15%,3.61%,4.84%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,Asthma,Asthma,Both,All ages,3.64%,3.11%,4.37%,GBD 1993,Non-Communicable Diseases
Global,1994,Asthma,Asthma,Both,All ages,4.08%,3.55%,4.74%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,Asthma,Asthma,Both,All ages,3.62%,3.10%,4.32%,GBD 1994,Non-Communicable Diseases
Global,1995,Asthma,Asthma,Both,All ages,4.02%,3.51%,4.67%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,Asthma,Asthma,Both,All ages,3.59%,3.09%,4.28%,GBD 1995,Non-Communicable Diseases
Global,1996,Asthma,Asthma,Both,All ages,3.96%,3.45%,4.60%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,Asthma,Asthma,Both,All ages,3.55%,3.06%,4.20%,GBD 1996,Non-Communicable Diseases
Global,1997,Asthma,Asthma,Both,All ages,3.87%,3.38%,4.49%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,Asthma,Asthma,Both,All ages,3.47%,3.00%,4.11%,GBD 1997,Non-Communicable Diseases
Global,1998,Asthma,Asthma,Both,All ages,3.77%,3.29%,4.37%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,Asthma,Asthma,Both,All ages,3.39%,2.93%,4.01%,GBD 1998,Non-Communicable Diseases
Global,1999,Asthma,Asthma,Both,All ages,3.67%,3.21%,4.26%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,Asthma,Asthma,Both,All ages,3.33%,2.88%,3.94%,GBD 1999,Non-Communicable Diseases
Global,2000,Asthma,Asthma,Both,All ages,3.60%,3.15%,4.18%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,Asthma,Asthma,Both,All ages,3.30%,2.86%,3.91%,GBD 2000,Non-Communicable Diseases
Global,2001,Asthma,Asthma,Both,All ages,3.54%,3.10%,4.11%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,Asthma,Asthma,Both,All ages,3.31%,2.87%,3.92%,GBD 2001,Non-Communicable Diseases
Global,2002,Asthma,Asthma,Both,All ages,3.48%,3.05%,4.03%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,Asthma,Asthma,Both,All ages,3.35%,2.90%,3.95%,GBD 2002,Non-Communicable Diseases
Global,2003,Asthma,Asthma,Both,All ages,3.43%,3.00%,3.97%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,Asthma,Asthma,Both,All ages,3.39%,2.94%,4.00%,GBD 2003,Non-Communicable Diseases
Global,2004,Asthma,Asthma,Both,All ages,3.38%,2.96%,3.92%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,Asthma,Asthma,Both,All ages,3.44%,2.98%,4.05%,GBD 2004,Non-Communicable Diseases
Global,2005,Asthma,Asthma,Both,All ages,3.35%,2.93%,3.87%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,Asthma,Asthma,Both,All ages,3.48%,3.01%,4.08%,GBD 2005,Non-Communicable Diseases
Global,2006,Asthma,Asthma,Both,All ages,3.33%,2.92%,3.86%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,Asthma,Asthma,Both,All ages,3.51%,3.03%,4.12%,GBD 2006,Non-Communicable Diseases
Global,2007,Asthma,Asthma,Both,All ages,3.34%,2.93%,3.88%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,Asthma,Asthma,Both,All ages,3.55%,3.06%,4.17%,GBD 2007,Non-Communicable Diseases
Global,2008,Asthma,Asthma,Both,All ages,3.36%,2.94%,3.90%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,Asthma,Asthma,Both,All ages,3.59%,3.08%,4.21%,GBD 2008,Non-Communicable Diseases
Global,2009,Asthma,Asthma,Both,All ages,3.37%,2.96%,3.92%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,Asthma,Asthma,Both,All ages,3.61%,3.10%,4.24%,GBD 2009,Non-Communicable Diseases
Global,2010,Asthma,Asthma,Both,All ages,3.38%,2.96%,3.91%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,Asthma,Asthma,Both,All ages,3.61%,3.11%,4.24%,GBD 2010,Non-Communicable Diseases
Global,2011,Asthma,Asthma,Both,All ages,3.36%,2.94%,3.90%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,Asthma,Asthma,Both,All ages,3.58%,3.08%,4.20%,GBD 2011,Non-Communicable Diseases
Global,2012,Asthma,Asthma,Both,All ages,3.33%,2.91%,3.87%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,Asthma,Asthma,Both,All ages,3.53%,3.03%,4.14%,GBD 2012,Non-Communicable Diseases
Global,2013,Asthma,Asthma,Both,All ages,3.30%,2.88%,3.83%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,Asthma,Asthma,Both,All ages,3.47%,2.98%,4.07%,GBD 2013,Non-Communicable Diseases
Global,2014,Asthma,Asthma,Both,All ages,3.28%,2.86%,3.81%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,Asthma,Asthma,Both,All ages,3.41%,2.93%,4.00%,GBD 2014,Non-Communicable Diseases
Global,2015,Asthma,Asthma,Both,All ages,3.28%,2.85%,3.83%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,Asthma,Asthma,Both,All ages,3.38%,2.91%,3.96%,GBD 2015,Non-Communicable Diseases
Global,2016,Asthma,Asthma,Both,All ages,3.37%,2.91%,3.96%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,Asthma,Asthma,Both,All ages,3.40%,2.91%,4.02%,GBD 2016,Non-Communicable Diseases
Global,2017,Asthma,Asthma,Both,All ages,3.47%,2.97%,4.12%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,Asthma,Asthma,Both,All ages,3.44%,2.91%,4.09%,GBD 2017,Non-Communicable Diseases
Global,2018,Asthma,Asthma,Both,All ages,3.50%,2.99%,4.15%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,Asthma,Asthma,Both,All ages,3.45%,2.93%,4.10%,GBD 2018,Non-Communicable Diseases
Global,2019,Asthma,Asthma,Both,All ages,3.53%,3.01%,4.16%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,Asthma,Asthma,Both,All ages,3.47%,2.95%,4.10%,GBD 2019,Non-Communicable Diseases
Global,1990,Cancer,Neoplasms,Both,All ages,5.76%,4.89%,6.78%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,Cancer,Neoplasms,Both,All ages,4.09%,3.30%,5.06%,GBD 1990,Non-Communicable Diseases
Global,1991,Cancer,Neoplasms,Both,All ages,5.77%,4.90%,6.78%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,Cancer,Neoplasms,Both,All ages,4.13%,3.34%,5.11%,GBD 1991,Non-Communicable Diseases
Global,1992,Cancer,Neoplasms,Both,All ages,5.78%,4.92%,6.78%,GBD 1992,Non-Communicable Diseases
Republic of Indonesia,1992,Cancer,Neoplasms,Both,All ages,4.17%,3.38%,5.14%,GBD 1992,Non-Communicable Diseases
Global,1993,Cancer,Neoplasms,Both,All ages,5.79%,4.94%,6.79%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,Cancer,Neoplasms,Both,All ages,4.21%,3.41%,5.21%,GBD 1993,Non-Communicable Diseases
Global,1994,Cancer,Neoplasms,Both,All ages,5.80%,4.94%,6.80%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,Cancer,Neoplasms,Both,All ages,4.25%,3.45%,5.23%,GBD 1994,Non-Communicable Diseases
Global,1995,Cancer,Neoplasms,Both,All ages,5.81%,4.96%,6.81%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,Cancer,Neoplasms,Both,All ages,4.29%,3.48%,5.30%,GBD 1995,Non-Communicable Diseases
Global,1996,Cancer,Neoplasms,Both,All ages,5.83%,4.98%,6.82%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,Cancer,Neoplasms,Both,All ages,4.33%,3.52%,5.35%,GBD 1996,Non-Communicable Diseases
Global,1997,Cancer,Neoplasms,Both,All ages,5.85%,5.00%,6.84%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,Cancer,Neoplasms,Both,All ages,4.38%,3.56%,5.41%,GBD 1997,Non-Communicable Diseases
Global,1998,Cancer,Neoplasms,Both,All ages,5.87%,5.01%,6.86%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,Cancer,Neoplasms,Both,All ages,4.42%,3.58%,5.47%,GBD 1998,Non-Communicable Diseases
Global,1999,Cancer,Neoplasms,Both,All ages,5.89%,5.04%,6.89%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,Cancer,Neoplasms,Both,All ages,4.46%,3.62%,5.51%,GBD 1999,Non-Communicable Diseases
Global,2000,Cancer,Neoplasms,Both,All ages,5.92%,5.06%,6.92%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,Cancer,Neoplasms,Both,All ages,4.51%,3.66%,5.58%,GBD 2000,Non-Communicable Diseases
Global,2001,Cancer,Neoplasms,Both,All ages,5.95%,5.09%,6.95%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,Cancer,Neoplasms,Both,All ages,4.55%,3.69%,5.64%,GBD 2001,Non-Communicable Diseases
Global,2002,Cancer,Neoplasms,Both,All ages,6.00%,5.14%,7.00%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,Cancer,Neoplasms,Both,All ages,4.60%,3.73%,5.71%,GBD 2002,Non-Communicable Diseases
Global,2003,Cancer,Neoplasms,Both,All ages,6.06%,5.19%,7.05%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,Cancer,Neoplasms,Both,All ages,4.65%,3.77%,5.78%,GBD 2003,Non-Communicable Diseases
Global,2004,Cancer,Neoplasms,Both,All ages,6.11%,5.24%,7.09%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,Cancer,Neoplasms,Both,All ages,4.70%,3.80%,5.84%,GBD 2004,Non-Communicable Diseases
Global,2005,Cancer,Neoplasms,Both,All ages,6.14%,5.29%,7.12%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,Cancer,Neoplasms,Both,All ages,4.75%,3.83%,5.89%,GBD 2005,Non-Communicable Diseases
Global,2006,Cancer,Neoplasms,Both,All ages,6.16%,5.32%,7.13%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,Cancer,Neoplasms,Both,All ages,4.78%,3.90%,5.90%,GBD 2006,Non-Communicable Diseases
Global,2007,Cancer,Neoplasms,Both,All ages,6.18%,5.35%,7.12%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,Cancer,Neoplasms,Both,All ages,4.80%,3.95%,5.86%,GBD 2007,Non-Communicable Diseases
Global,2008,Cancer,Neoplasms,Both,All ages,6.19%,5.38%,7.12%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,Cancer,Neoplasms,Both,All ages,4.82%,4.01%,5.78%,GBD 2008,Non-Communicable Diseases
Global,2009,Cancer,Neoplasms,Both,All ages,6.21%,5.42%,7.12%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,Cancer,Neoplasms,Both,All ages,4.84%,4.08%,5.74%,GBD 2009,Non-Communicable Diseases
Global,2010,Cancer,Neoplasms,Both,All ages,6.24%,5.44%,7.14%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,Cancer,Neoplasms,Both,All ages,4.88%,4.11%,5.77%,GBD 2010,Non-Communicable Diseases
Global,2011,Cancer,Neoplasms,Both,All ages,6.27%,5.46%,7.18%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,Cancer,Neoplasms,Both,All ages,4.93%,4.16%,5.82%,GBD 2011,Non-Communicable Diseases
Global,2012,Cancer,Neoplasms,Both,All ages,6.30%,5.49%,7.22%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,Cancer,Neoplasms,Both,All ages,4.98%,4.19%,5.87%,GBD 2012,Non-Communicable Diseases
Global,2013,Cancer,Neoplasms,Both,All ages,6.34%,5.51%,7.27%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,Cancer,Neoplasms,Both,All ages,5.03%,4.23%,5.93%,GBD 2013,Non-Communicable Diseases
Global,2014,Cancer,Neoplasms,Both,All ages,6.37%,5.55%,7.31%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,Cancer,Neoplasms,Both,All ages,5.09%,4.29%,6.02%,GBD 2014,Non-Communicable Diseases
Global,2015,Cancer,Neoplasms,Both,All ages,6.41%,5.59%,7.36%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,Cancer,Neoplasms,Both,All ages,5.15%,4.33%,6.09%,GBD 2015,Non-Communicable Diseases
Global,2016,Cancer,Neoplasms,Both,All ages,6.45%,5.60%,7.39%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,Cancer,Neoplasms,Both,All ages,5.20%,4.39%,6.15%,GBD 2016,Non-Communicable Diseases
Global,2017,Cancer,Neoplasms,Both,All ages,6.49%,5.63%,7.44%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,Cancer,Neoplasms,Both,All ages,5.27%,4.43%,6.23%,GBD 2017,Non-Communicable Diseases
Global,2018,Cancer,Neoplasms,Both,All ages,6.51%,5.64%,7.50%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,Cancer,Neoplasms,Both,All ages,5.34%,4.50%,6.33%,GBD 2018,Non-Communicable Diseases
Global,2019,Cancer,Neoplasms,Both,All ages,6.52%,5.61%,7.55%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,Cancer,Neoplasms,Both,All ages,5.41%,4.56%,6.39%,GBD 2019,Non-Communicable Diseases
Global,1990,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.26%,4.99%,5.53%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.25%,3.06%,3.44%,GBD 1990,Non-Communicable Diseases
Global,1991,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.27%,5.00%,5.53%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.30%,3.11%,3.50%,GBD 1991,Non-Communicable Diseases
Global,1992,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.28%,5.02%,5.54%,GBD 1992,Non-Communicable Diseases
Republic of Indonesia,1992,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.36%,3.17%,3.56%,GBD 1992,Non-Communicable Diseases
Global,1993,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.29%,5.03%,5.56%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.42%,3.23%,3.61%,GBD 1993,Non-Communicable Diseases
Global,1994,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.31%,5.05%,5.58%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.47%,3.28%,3.67%,GBD 1994,Non-Communicable Diseases
Global,1995,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.34%,5.08%,5.60%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.53%,3.33%,3.73%,GBD 1995,Non-Communicable Diseases
Global,1996,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.37%,5.11%,5.64%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.59%,3.39%,3.80%,GBD 1996,Non-Communicable Diseases
Global,1997,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.41%,5.14%,5.68%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.65%,3.45%,3.86%,GBD 1997,Non-Communicable Diseases
Global,1998,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.46%,5.19%,5.73%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.71%,3.51%,3.93%,GBD 1998,Non-Communicable Diseases
Global,1999,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.51%,5.23%,5.78%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.78%,3.57%,4.00%,GBD 1999,Non-Communicable Diseases
Global,2000,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.55%,5.27%,5.83%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.84%,3.62%,4.06%,GBD 2000,Non-Communicable Diseases
Global,2001,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.60%,5.32%,5.88%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.90%,3.68%,4.13%,GBD 2001,Non-Communicable Diseases
Global,2002,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.65%,5.37%,5.93%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,Cardiovascular disease,Cardiovascular diseases,Both,All ages,3.96%,3.74%,4.20%,GBD 2002,Non-Communicable Diseases
Global,2003,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.70%,5.42%,5.98%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.03%,3.81%,4.27%,GBD 2003,Non-Communicable Diseases
Global,2004,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.75%,5.47%,6.03%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.10%,3.87%,4.33%,GBD 2004,Non-Communicable Diseases
Global,2005,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.81%,5.53%,6.08%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.16%,3.93%,4.39%,GBD 2005,Non-Communicable Diseases
Global,2006,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.87%,5.59%,6.15%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.22%,3.99%,4.46%,GBD 2006,Non-Communicable Diseases
Global,2007,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.93%,5.65%,6.23%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.29%,4.05%,4.54%,GBD 2007,Non-Communicable Diseases
Global,2008,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.00%,5.71%,6.30%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.36%,4.12%,4.62%,GBD 2008,Non-Communicable Diseases
Global,2009,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.08%,5.78%,6.38%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.43%,4.18%,4.69%,GBD 2009,Non-Communicable Diseases
Global,2010,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.16%,5.86%,6.46%,GBD 2010,Non-Communicable Diseases
Republic of Indonesia,2010,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.50%,4.24%,4.77%,GBD 2010,Non-Communicable Diseases
Global,2011,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.24%,5.94%,6.55%,GBD 2011,Non-Communicable Diseases
Republic of Indonesia,2011,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.57%,4.32%,4.85%,GBD 2011,Non-Communicable Diseases
Global,2012,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.33%,6.02%,6.64%,GBD 2012,Non-Communicable Diseases
Republic of Indonesia,2012,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.64%,4.38%,4.92%,GBD 2012,Non-Communicable Diseases
Global,2013,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.42%,6.11%,6.73%,GBD 2013,Non-Communicable Diseases
Republic of Indonesia,2013,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.72%,4.46%,5.00%,GBD 2013,Non-Communicable Diseases
Global,2014,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.51%,6.20%,6.83%,GBD 2014,Non-Communicable Diseases
Republic of Indonesia,2014,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.80%,4.54%,5.08%,GBD 2014,Non-Communicable Diseases
Global,2015,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.60%,6.29%,6.93%,GBD 2015,Non-Communicable Diseases
Republic of Indonesia,2015,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.89%,4.62%,5.17%,GBD 2015,Non-Communicable Diseases
Global,2016,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.71%,6.39%,7.04%,GBD 2016,Non-Communicable Diseases
Republic of Indonesia,2016,Cardiovascular disease,Cardiovascular diseases,Both,All ages,4.99%,4.71%,5.29%,GBD 2016,Non-Communicable Diseases
Global,2017,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.82%,6.48%,7.17%,GBD 2017,Non-Communicable Diseases
Republic of Indonesia,2017,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.08%,4.79%,5.40%,GBD 2017,Non-Communicable Diseases
Global,2018,Cardiovascular disease,Cardiovascular diseases,Both,All ages,6.93%,6.58%,7.28%,GBD 2018,Non-Communicable Diseases
Republic of Indonesia,2018,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.19%,4.89%,5.52%,GBD 2018,Non-Communicable Diseases
Global,2019,Cardiovascular disease,Cardiovascular diseases,Both,All ages,7.03%,6.67%,7.40%,GBD 2019,Non-Communicable Diseases
Republic of Indonesia,2019,Cardiovascular disease,Cardiovascular diseases,Both,All ages,5.31%,5.00%,5.64%,GBD 2019,Non-Communicable Diseases
Global,1990,CKD,Chronic kidney disease,Both,All ages,6.62%,6.13%,7.10%,GBD 1990,Non-Communicable Diseases
Republic of Indonesia,1990,CKD,Chronic kidney disease,Both,All ages,6.71%,6.15%,7.31%,GBD 1990,Non-Communicable Diseases
Global,1991,CKD,Chronic kidney disease,Both,All ages,6.69%,6.20%,7.18%,GBD 1991,Non-Communicable Diseases
Republic of Indonesia,1991,CKD,Chronic kidney disease,Both,All ages,6.83%,6.25%,7.43%,GBD 1991,Non-Communicable Diseases
Global,1992,CKD,Chronic kidney disease,Both,All ages,6.77%,6.26%,7.25%,GBD 1992,Non-Communicable Diseases
Republic of Indonesia,1992,CKD,Chronic kidney disease,Both,All ages,6.94%,6.36%,7.55%,GBD 1992,Non-Communicable Diseases
Global,1993,CKD,Chronic kidney disease,Both,All ages,6.84%,6.32%,7.33%,GBD 1993,Non-Communicable Diseases
Republic of Indonesia,1993,CKD,Chronic kidney disease,Both,All ages,7.05%,6.47%,7.67%,GBD 1993,Non-Communicable Diseases
Global,1994,CKD,Chronic kidney disease,Both,All ages,6.91%,6.39%,7.41%,GBD 1994,Non-Communicable Diseases
Republic of Indonesia,1994,CKD,Chronic kidney disease,Both,All ages,7.16%,6.57%,7.79%,GBD 1994,Non-Communicable Diseases
Global,1995,CKD,Chronic kidney disease,Both,All ages,6.98%,6.45%,7.49%,GBD 1995,Non-Communicable Diseases
Republic of Indonesia,1995,CKD,Chronic kidney disease,Both,All ages,7.26%,6.66%,7.90%,GBD 1995,Non-Communicable Diseases
Global,1996,CKD,Chronic kidney disease,Both,All ages,7.05%,6.53%,7.57%,GBD 1996,Non-Communicable Diseases
Republic of Indonesia,1996,CKD,Chronic kidney disease,Both,All ages,7.37%,6.77%,8.01%,GBD 1996,Non-Communicable Diseases
Global,1997,CKD,Chronic kidney disease,Both,All ages,7.13%,6.60%,7.65%,GBD 1997,Non-Communicable Diseases
Republic of Indonesia,1997,CKD,Chronic kidney disease,Both,All ages,7.47%,6.86%,8.13%,GBD 1997,Non-Communicable Diseases
Global,1998,CKD,Chronic kidney disease,Both,All ages,7.22%,6.68%,7.73%,GBD 1998,Non-Communicable Diseases
Republic of Indonesia,1998,CKD,Chronic kidney disease,Both,All ages,7.58%,6.97%,8.24%,GBD 1998,Non-Communicable Diseases
Global,1999,CKD,Chronic kidney disease,Both,All ages,7.30%,6.76%,7.82%,GBD 1999,Non-Communicable Diseases
Republic of Indonesia,1999,CKD,Chronic kidney disease,Both,All ages,7.68%,7.06%,8.36%,GBD 1999,Non-Communicable Diseases
Global,2000,CKD,Chronic kidney disease,Both,All ages,7.38%,6.84%,7.91%,GBD 2000,Non-Communicable Diseases
Republic of Indonesia,2000,CKD,Chronic kidney disease,Both,All ages,7.79%,7.15%,8.47%,GBD 2000,Non-Communicable Diseases
Global,2001,CKD,Chronic kidney disease,Both,All ages,7.47%,6.93%,8.00%,GBD 2001,Non-Communicable Diseases
Republic of Indonesia,2001,CKD,Chronic kidney disease,Both,All ages,7.90%,7.24%,8.59%,GBD 2001,Non-Communicable Diseases
Global,2002,CKD,Chronic kidney disease,Both,All ages,7.56%,7.01%,8.09%,GBD 2002,Non-Communicable Diseases
Republic of Indonesia,2002,CKD,Chronic kidney disease,Both,All ages,8.02%,7.35%,8.72%,GBD 2002,Non-Communicable Diseases
Global,2003,CKD,Chronic kidney disease,Both,All ages,7.65%,7.10%,8.19%,GBD 2003,Non-Communicable Diseases
Republic of Indonesia,2003,CKD,Chronic kidney disease,Both,All ages,8.15%,7.47%,8.86%,GBD 2003,Non-Communicable Diseases
Global,2004,CKD,Chronic kidney disease,Both,All ages,7.74%,7.19%,8.28%,GBD 2004,Non-Communicable Diseases
Republic of Indonesia,2004,CKD,Chronic kidney disease,Both,All ages,8.28%,7.59%,9.00%,GBD 2004,Non-Communicable Diseases
Global,2005,CKD,Chronic kidney disease,Both,All ages,7.84%,7.28%,8.38%,GBD 2005,Non-Communicable Diseases
Republic of Indonesia,2005,CKD,Chronic kidney disease,Both,All ages,8.40%,7.69%,9.12%,GBD 2005,Non-Communicable Diseases
Global,2006,CKD,Chronic kidney disease,Both,All ages,7.93%,7.37%,8.47%,GBD 2006,Non-Communicable Diseases
Republic of Indonesia,2006,CKD,Chronic kidney disease,Both,All ages,8.51%,7.79%,9.25%,GBD 2006,Non-Communicable Diseases
Global,2007,CKD,Chronic kidney disease,Both,All ages,8.03%,7.46%,8.57%,GBD 2007,Non-Communicable Diseases
Republic of Indonesia,2007,CKD,Chronic kidney disease,Both,All ages,8.62%,7.90%,9.37%,GBD 2007,Non-Communicable Diseases
Global,2008,CKD,Chronic kidney disease,Both,All ages,8.13%,7.55%,8.67%,GBD 2008,Non-Communicable Diseases
Republic of Indonesia,2008,CKD,Chronic kidney disease,Both,All ages,8.74%,8.01%,9.49%,GBD 2008,Non-Communicable Diseases
Global,2009,CKD,Chronic kidney disease,Both,All ages,8.23%,7.65%,8.77%,GBD 2009,Non-Communicable Diseases
Republic of Indonesia,2009,CKD,Chronic kidney disease,Both,All ages,8.86%,8.12%,9.61%,GBD 2009,Non-Communicable Diseases
